city,lat,lng,population
Tehran,35.6892,51.3889,14148000.0
Mashhad,36.3264,59.5433,3372090.0
Khowrhesht,36.205,49.6872,2500000.0
Eşfahān,32.6447,51.6675,2219343.0
Karaj,35.8272,50.9489,1973470.0
Shīrāz,29.61,52.5425,1565572.0
Tabrīz,38.0814,46.3006,1558693.0
Qom,34.64,50.8764,1201158.0
Ahvāz,31.3047,48.6783,1184788.0
Kermānshāh,34.3325,47.0933,946651.0
Kermān,30.2911,57.0678,738374.0
Orūmīyeh,37.5439,45.0647,736224.0
Pīshbar,33.3886,59.9789,720207.0
Borvāyeh-ye Al Bū ‘Azīz,31.6283,48.6147,690000.0
Rasht,37.2744,49.5889,679995.0
Bahār,34.9028,48.4425,673405.0
Zāhedān,29.5025,60.8558,587730.0
Hamadān,34.8064,48.5161,554406.0
Yazd,31.8822,54.3397,529673.0
Ardabīl,38.2425,48.29,529374.0
Bandar ‘Abbās,27.1961,56.2878,526648.0
Arāk,34.0914,49.6933,520944.0
Eslāmshahr,35.5317,51.2247,448129.0
Sanandaj,35.3114,46.9961,412767.0
Qazvīn,36.2894,50.0086,402748.0
Zanjān,36.6789,48.5056,386851.0
Khorramābād,33.4875,48.3561,373416.0
Gorgān,36.8378,54.4414,312223.0
Shahrīār,35.6722,51.0236,309607.0
Shahr-e Qods,35.7097,51.1119,309605.0
Kāshān,33.9825,51.4325,304487.0
Malārd,35.6806,50.9783,281027.0
Sartā,36.4491,53.3234,271467.0
Dezfūl,32.3786,48.4144,264709.0
Bābol,36.5475,52.6783,250217.0
Bojnūrd,37.4722,57.3289,250000.0
Qā’em Shahr,36.4636,52.8581,247953.0
Khomeynī Shahr,32.6803,51.5361,247128.0
Sabzevār,36.2125,57.6764,243700.0
Āmol,36.4703,52.3467,237528.0
Pākdasht,35.485,51.6794,236319.0
Najafābād,32.6447,51.3603,235281.0
Borūjerd,33.9111,48.7522,234997.0
Madan,30.3469,48.2825,231476.0
Qarchak,35.4267,51.5842,231075.0
Varāmīn,35.3508,51.6358,225628.0
Bandar-e Būshehr,28.9264,50.8514,223504.0
Neyshābūr,36.22,58.82,221700.0
Sāveh,35.0278,50.3611,220762.0
Bīrjand,32.8744,59.2161,203636.0
Nasīm Shahr,35.5617,51.1617,200393.0
Khowy,38.5464,44.9542,198845.0
Būkān,36.515,46.2075,193501.0
Shahr-e Kord,32.3311,50.8594,190441.0
Semnān,35.5811,53.3833,185129.0
Fardīs,35.73,50.9822,181174.0
Marāgheh,37.3894,46.2378,175255.0
Sīrjān,29.437,55.6802,175000.0
Shāhīn Shahr,32.8606,51.5531,173329.0
Malāyer,34.3,48.8178,170237.0
Mahābād,36.7678,45.7339,168393.0
Saqqez,36.2411,46.2706,165258.0
Bandar-e Māhshahr,30.5567,49.1897,162797.0
Rafsanjān,30.4111,55.9911,161909.0
Borāzjān,29.2694,51.22,155567.0
Gonbad-e Kāvūs,37.2433,55.1692,151910.0
Shāhrūd,36.4133,54.9781,150129.0
Marvdasht,29.8786,52.8067,148858.0
Qūchān,37.106,58.5095,145531.0
Jahrom,28.5031,53.5658,141634.0
Kamālshahr,35.8658,50.8717,141166.0
Torbat-e Ḩeydarīyeh,35.29,59.2169,140019.0
Marīvān,35.5217,46.1806,136654.0
Andīmeshk,32.4714,48.3489,135116.0
Shahreẕā,32.0122,51.8594,134952.0
Zābol,31.0339,61.4878,134950.0
Khorramshahr,30.4394,48.1817,133097.0
Marand,38.4331,45.7686,130825.0
Jīroft,28.6797,57.7447,130429.0
Salmās,38.2028,44.7669,127864.0
Bam,29.0994,58.3436,127396.0
Behbahān,30.5942,50.2433,122604.0
Dorūd,33.4994,49.0531,121608.0
Naz̧arābād,35.9583,50.605,119512.0
Moḩammad Shahr,35.7483,50.9025,119418.0
Bandar-e Anzalī,37.4708,49.47,118564.0
Īrānshahr,27.1978,60.6836,113750.0
Fasā,28.9483,53.6336,110825.0
Bāneh,35.9969,45.8853,110218.0
Yāsūj,30.6672,51.5797,108505.0
Chābahār,25.2928,60.6497,106739.0
Robāţ Karīm,35.4825,51.0786,105393.0
Kāshmar,35.2431,58.4594,102282.0
Shūshtar,32.045,48.8594,101878.0
Ahar,38.4797,47.0669,100641.0
Masjed Soleymān,31.96,49.2881,100497.0
Torbat-e Jām,35.2431,60.625,100449.0
Būmahen,35.7314,51.8675,79034.0
Māhdāsht,35.7194,50.7978,62910.0
Meshkīn Dasht,35.7469,50.9361,62005.0
Chahār Dangeh,35.5958,51.3083,49950.0
Darcheh,32.6131,51.5531,43183.0
Eshtehārd,35.7247,50.3717,29993.0
Sardrūd,38.0286,46.1475,29739.0
Garmdarreh,35.7478,51.0678,22726.0
Morteẕá Gerd,35.6019,51.3486,15506.0
Khomām,37.3911,49.6597,12901.0
Bāsmenj,37.9964,46.4717,12692.0
Sangar,37.1797,49.6942,12583.0
Kūshk,32.6419,51.4997,11264.0
Hamadānak,35.5422,51.1383,11216.0
Lasht-e Neshā,37.3608,49.8611,10539.0
Kūcheşfahān,37.2783,49.7728,10026.0
Shahrak-e Pārs,35.6081,51.3808,8625.0
Kond Rūd,38.0094,46.4794,8518.0
Shahrak-e Goldasteh,35.6031,51.27,7602.0
Māyān-e Pā’īn,38.0864,46.1036,6596.0
Līqvān,37.8344,46.43,5350.0
Ravājīr,37.1892,49.5886,4728.0
‘Alīābād,35.5228,51.2044,4562.0
Shādbād-e Mashāyekh,37.9892,46.3586,4317.0
Fakhab,37.3111,49.5639,3851.0
Beyraq,37.8872,46.4683,3703.0
Ḩasanābād-e Loqmanī,35.6189,51.1947,3568.0
Sefīdān-e Jadīd,38.2819,46.34,3515.0
Shahrak-e Dānesh,35.6947,51.1819,3402.0
Lūlamān,37.2783,49.7728,3175.0
Haft Jūy,35.72,51.0553,3137.0
Tīrānchī,32.63,51.5219,3122.0
Bālā Maḩalleh-ye Chowkām,37.3822,49.6156,3096.0
Ţālem Seh Shanbeh,37.1617,49.6828,2687.0
Chīchaklū,35.5636,51.2053,2656.0
Kazh Deh,37.2981,49.62,2623.0
Bāghkomīsh,35.7033,51.7847,2566.0
